"","vtitle","vpoint","vreview"
"168","살인청부업자","9","이 영화가 생각보다 평이 박하네...개인적으론 연기가 일단 압권으로 최고이고...스토리도 상당히 흥미롭지 않은가...마지막 은근한 머리 아픈 결말까지... 그리 박하게 평가받을 만한 졸작은 아닌데..."
"169","리멤버","2","진짜 아역 죽이고 싶음 너무 억지 스토리촌스럽고 올드하고..재미도 감동도 없음"
"170","낮에는 덥고 밤에는 춥고","10","진짜 반전에반전이 예상외의 스토리가 보는내내 몰입감으로 정말 흥미진진하게 잘봤어요꼭 꼭 보세요 완전강추~^^"
"171","시카리오: 데이 오브 솔다도","10","옛날 생각나서 눈물 글썽였네요..."
"172","공조2: 인터내셔날","2","이런3류영화 시나리오 쓴사람도 문제지만이런 영화에 투자한 투자배급사 담당자는 사표내야할듯 당연히 흥행은 달나라로보는내내 모 이런 영화가있나 싶어 보다보다 승질나서  스톱 투자배급사 망하게한영횐"
"173","옆집사람","2","네이버 알바들이 실제 존재하는군요.진짜 스토리도, 연기도 엉망집에서 봤는데, 독립비급엉성한 삼류영화입니다. 스토리는 예상대로 뻔하고요."
"174","인생은 아름다워","1","추억의 만화 타이거마스크를 욕보이지 말라!"
"175","에브리씽 에브리웨어 올 앳 원스","9","역사의 비극을 영어로만  진술해야 한다는 참담함.."
"176","자백","5","좋게 말해서 잔잔 힐링이지 그냥 지루 노잼 이라는 말이에요"
"177","20세기 소녀","9","별거 없는 인간들아 나에겐 다정함이 있어"
"178","살인청부업자","10","거의 코미디 영화임ㅋㅋ 마지막 주연 이빨빠지는거 개웃...개그요소가 많아요 ㅋㅋ 잼께 봄 ㅠㅠ"
"179","리멤버","10","그래 .. 이 기분 나만 느낄순 없지"
"180","낮에는 덥고 밤에는 춥고","10","간만에 좋은 작품 봤습니다 내용, 영상미 다 좋네요"
"181","시카리오: 데이 오브 솔다도","10","인생 영화 TOP3 에 듭니다연출 소리 스토리 다 완벽합니다꼭 아이맥스로 보세요"
"182","공조2: 인터내셔날","8","역관광이 뭔가를 보여주네"
"183","옆집사람","8","이태원참사이후에 이영화를 보니 느껴지는게 많다"
"184","인생은 아름다워","5","신선함을 가장한 클리셰 덩어리. 안타깝게도 2탄이 나올 것이 분명하다."
"185","에브리씽 에브리웨어 올 앳 원스","8","유치하긴한데 볼만은 함"
"186","자백","8","좋아하는 두배우 나오는데두배우의 좋은연기. 깔끔한 스토리.재밌게 봤어요"
"187","20세기 소녀","9","감사합니다 잊지않겠습니다"
"188","살인청부업자","8","공주가 아닌 평민, 젊은이가 아닌 노인 버전 로마의 휴일...아니 파리의 휴일"
"189","리멤버","10","긴장을 놓을 수 없는 짜릿함이 있는 영화!"
"190","낮에는 덥고 밤에는 춥고","10","마지막 장면의 원어 자막판도 좋았지만 개인적으로 더빙판의 나레이션이 감동을 배가되게 만들어줬고 여전히 기억에 남네요."
"191","시카리오: 데이 오브 솔다도","10","스토리 연기 뭐하나 모자른게 없습니다.. 영화보다 잘 조는데 졸 틈이 없었습니다 ㅎㅎ"
"192","공조2: 인터내셔날","4","새드앤딩임... 보고나서 기분만 찝찝해지고주인공이 살았으면 좋았을텐데 좀 아쉽다"
"193","옆집사람","8",";"
"194","인생은 아름다워","8","테러행위가 어떨때까지 정당할까?그전에 죄의 대가를 치루지 않은 우리의 부끄러운 역사"
